timestamp,gita_x,gita_y,gita_z,yaw,unity_x,unity_z,scale_factor
3.7032127380371094,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
3.814530849456787,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
3.9176297187805176,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.021120548248291,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.132496356964111,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.242885112762451,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.356184005737305,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.467925071716309,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.580461025238037,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.691665172576904,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.803620338439941,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
4.907614231109619,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.018289566040039,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.119366645812988,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.231534957885742,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.344058513641357,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.456165313720703,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.566917419433594,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.6786088943481445,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.7901930809021,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
5.905158996582031,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.012597560882568,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.124626636505127,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.233933448791504,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.334327220916748,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.446359634399414,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.558567047119141,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.66949462890625,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
6.781346797943115,0.0,0.0,0.0,99.99999237060547,0.0,0.0,0.3330000042915344
