relay_timestamp,packet_num,source_ip,source_port,dest_ip,dest_port,bytes,x,y,z,yaw,unity_timestamp,unity_x,unity_z,scale_factor
2026-03-08 20:57:55.947,46,10.30.138.30,45520,10.30.135.228,8888,206,"{""x"":0.22292615473270417","""y"":-0.2622031271457672","""z"":0.08080627024173737","""yaw"":90.0","""timestamp"":9.413797378540039","""unity_x"":0.6694478988647461","""unity_z"":0.2426614761352539","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.034,47,10.30.138.30,45520,10.30.135.228,8888,205,"{""x"":0.22292615473270417","""y"":-0.2622031271457672","""z"":0.08080627024173737","""yaw"":90.0","""timestamp"":9.52509880065918","""unity_x"":0.6694478988647461","""unity_z"":0.2426614761352539","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.194,48,10.30.138.30,45520,10.30.135.228,8888,206,"{""x"":0.22292615473270417","""y"":-0.2622031271457672","""z"":0.08080627024173737","""yaw"":90.0","""timestamp"":9.636052131652832","""unity_x"":0.6694478988647461","""unity_z"":0.2426614761352539","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.372,49,10.30.138.30,45520,10.30.135.228,8888,206,"{""x"":0.22292615473270417","""y"":-0.2622031271457672","""z"":0.08080627024173737","""yaw"":90.0","""timestamp"":9.747024536132813","""unity_x"":0.6694478988647461","""unity_z"":0.2426614761352539","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.373,50,10.30.138.30,45520,10.30.135.228,8888,206,"{""x"":0.22292615473270417","""y"":-0.2622031271457672","""z"":0.08080627024173737","""yaw"":90.0","""timestamp"":9.858200073242188","""unity_x"":0.6694478988647461","""unity_z"":0.2426614761352539","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.462,51,10.30.138.30,45520,10.30.135.228,8888,206,"{""x"":0.22292615473270417","""y"":-0.2622031271457672","""z"":0.08080627024173737","""yaw"":90.0","""timestamp"":9.968724250793457","""unity_x"":0.6694478988647461","""unity_z"":0.2426614761352539","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.575,52,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.23436546325683595","""y"":-0.2622031271457672","""z"":0.07759656012058258","""yaw"":90.0","""timestamp"":10.080578804016114","""unity_x"":0.7038002014160156","""unity_z"":0.23302268981933595","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.719,53,10.30.138.30,45520,10.30.135.228,8888,205,"{""x"":0.3015378415584564","""y"":-0.2622031271457672","""z"":0.06564372032880783","""yaw"":90.0","""timestamp"":10.19137954711914","""unity_x"":0.9055190086364746","""unity_z"":0.1971282958984375","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.833,54,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.39425358176231387","""y"":-0.2622031271457672","""z"":0.05862376093864441","""yaw"":90.0","""timestamp"":10.303071975708008","""unity_x"":1.1839447021484376","""unity_z"":0.17604732513427735","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:56.996,55,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":10.414528846740723","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.029,56,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":10.525379180908204","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.153,57,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":10.636770248413086","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.243,58,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":10.748079299926758","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.412,59,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":10.860274314880371","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.453,60,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":10.970758438110352","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
